
=== out/gemm/iket_pid_0x702.trace.json (3 instrumented launches) ===

[eager] kernel=kernel_cutlass_kernel_flashinfergemmkernelsdense_blockscaled_gemm_sm10
  grid=(2,1,74) block=(192,1,1) warps=888 markers=0 wall(first-warp-start -> last-warp-end)=40.2 us
  range               count   total_us    mean_ns     p50_ns     p99_ns     max_ns
  kernel_e2e            888    27588.9    31068.6      30112      39232      39392
  epi_main              592    19556.9    33035.4      29376      38496      38592
  epi_tile             2048    19487.1     9515.2       9248      10752      10848
  epi_acc_wait         2048    16212.7     7916.4       7616       9120       9216
  tma_main              148     4711.1    31832.0      28064      37344      37344
  tma_tile              512     4501.9     8792.8       8992       9728       9824
  tma_acquire         14336     2877.9      200.7        192        736        832
  mma_main              148     2666.1    18014.5      27232      37248      37440
  mma_tile              512     2589.5     5057.6       8320       9792       9888
  tma_issue           14336      610.8       42.6         32        128        384
  prologue              888      294.6      331.8        320        384        384
  mma_ab_wait          7168      270.3       37.7         32        256        608
  mma_acc_acquire       256      117.0      457.0        608        736        768
