
=== out/megamoe_m2048_nvfp4/iket_pid_0x6ddd.trace.json (0 instrumented launches) ===

=== out/megamoe_m2048_nvfp4/iket_pid_0x6e23.trace.json (2 instrumented launches) ===

[eager] kernel=kernel_cutlass_fc1fc2_kernel_impl_moe_nvfp4_swapabmegamoe_kernelSm100M
  grid=(2,1,74) block=(384,1,1) warps=1776 markers=0 wall(first-warp-start -> last-warp-end)=577.2 us
  range               count   total_us    mean_ns     p50_ns     p99_ns     max_ns
  fc1_epi             13824    49290.5     3565.6       4160       8352       9856
  tma_token_fc1        3456    43528.7    12595.1      10784      56704      59168
  tma_weight_fc1       3456    43524.1    12593.8      10784      56736      59168
  fc2_epi             16128    41576.8     2577.9       2944       8384      15840
  produce_tile_id      7636    27677.0     3624.5       1600      94432      94496
  mma_fc1              3456    21973.3     6358.0       5664      57600      61472
  tma_weight_fc2       4032    19314.3     4790.3       4416      14752      22752
  tma_token_fc2        4032    19310.6     4789.3       4416      14784      22752
  mma_fc2              4032     9889.1     2452.6       2240      11840      22496
  tma_token_fc1_wait      592     6519.2    11012.2        384      44512      45504
  mma_acquire          3744     1963.1      524.3        384       3552      12416
  tma_token_fc2_wait      336     1668.6     4966.1       3264      18560      19072
  Dispatch_Pull           1      172.5   172544.0     172544     172544     172544
  Dispatch_Barrier        1       88.0    87968.0      87968      87968      87968
  Token_Back_By_Push        1       65.4    65376.0      65376      65376      65376
  Pull.TMA_NVLink_Roundtrip       21       50.4     2401.5       2752       4032       4032
  token_back             22       44.5     2024.7       1952       4768       4768
  Pull.Weight_LDG        21       41.3     1967.2       2336       3520       3520
  Pull.ChooseToken       22       28.6     1301.8        864       5472       5472
  Pull.Arrival_Atomic       21       12.9      615.6        320       4256       4256
  Pull.TMA_Store         21        7.9      376.4        416        576        576
  Dispatch_Prep           1        3.9     3904.0       3904       3904       3904
